'FECHA';'COMERCIO/CAJERO';'IMPORTE';'MONEDA';'CONCEPTO';'ESTADO';'SEQ';'Clave_Concepto';'Categoria';'Subcategoria';'Fijo_Variable'
13/07/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';819;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
13/07/2016;'CAFET.C T PRAT\PR';-3,65 €;'EUROS';'Compras.';'PAGADO';820;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
13/07/2016;'TABASA VALLVI S. C:2T';-3,70 €;'EUROS';'Compras.';'PAGADO';821;'TABASA';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
14/07/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';822;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
14/07/2016;'TABASA VALLVI S. C:2T';-4,16 €;'EUROS';'Compras.';'PAGADO';823;'TABASA';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
14/07/2016;'BON AREA';-14,04 €;'EUROS';'Compras.';'PAGADO';824;'BON';'Gastos_Compras';'Supermercado';'VARIABLES'
15/07/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';825;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
20/07/2016;'AUTOPISTAS TER\CAN SERRA I';-1,38 €;'EUROS';'Compras.';'PAGADO';826;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
12/08/2016;'CINES OSCAR';-16,20 €;'EUROS';'Compras.';'PAGADO';827;'CINES';'Gastos_Ocio y transporte';'Espectáculos';'VARIABLES'
16/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';828;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
16/08/2016;'CAFET.C T PRAT\PR';-2,90 €;'EUROS';'Compras.';'PAGADO';829;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
16/08/2016;'VIENA XALET SABAD';-13,15 €;'EUROS';'Compras.';'PAGADO';830;'VIENA';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
16/08/2016;'RODELAS PERRUQUER';-16,50 €;'EUROS';'Compras.';'PAGADO';831;'RODELAS';'Gastos_Salud, saber y deporte';'Belleza';'VARIABLES'
16/08/2016;'LEROY MERLIN SABA';-61,05 €;'EUROS';'Compras.';'PAGADO';832;'LEROY';'Gastos_Vivienda y vehiculo';'Mnto. hogar';'VARIABLES'
17/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';833;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
17/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';834;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
17/08/2016;'CAFET.C T PRAT\PR';-4,10 €;'EUROS';'Compras.';'PAGADO';835;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
17/08/2016;'LIDL TERRASSA LES';-31,29 €;'EUROS';'Compras.';'PAGADO';836;'LIDL';'Gastos_Compras';'Supermercado';'VARIABLES'
17/08/2016;'LEROY MERLIN S\SA';-81,04 €;'EUROS';'Compras.';'PAGADO';837;'LEROY';'Gastos_Vivienda y vehiculo';'Mnto. hogar';'VARIABLES'
18/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';838;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
18/08/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';839;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
